t,omega_obs,omega_fit,residual
9.73333,0.911164,0.872264,0.0388999
9.75,0.884089,0.864958,0.0191304
9.76667,0.823928,0.85802,-0.0340913
9.78333,0.837871,0.851453,-0.0135823
9.8,0.824719,0.845263,-0.0205447
9.81667,0.819063,0.839455,-0.0203928
9.83333,0.830107,0.834033,-0.00392611
9.85,0.836157,0.829002,0.00715508
9.86667,0.809046,0.824364,-0.0153181
9.88333,0.819538,0.820124,-0.000586548
9.9,0.83099,0.816285,0.0147051
9.91667,0.806131,0.812849,-0.00671787
9.93333,0.81993,0.80982,0.0101109
9.95,0.816016,0.807199,0.00881788
9.96667,0.810233,0.804988,0.0052445
9.98333,0.816674,0.80319,0.0134844
10,0.817558,0.801805,0.0157532
10.0167,0.817476,0.800835,0.0166412
10.0333,0.771116,0.80028,-0.029164
10.05,0.765992,0.800141,-0.0341493
10.0667,0.802387,0.800418,0.00196961
10.0833,0.829939,0.80111,0.0288287
10.1,0.827245,0.802217,0.0250274
10.1167,0.819055,0.803739,0.015316
10.1333,0.813592,0.805674,0.0079183
10.15,0.809679,0.80802,0.00165893
10.1667,0.759001,0.810777,-0.0517758
10.1833,0.745241,0.813941,-0.0687005
10.2,0.828384,0.817511,0.0108731
10.2167,0.825738,0.821483,0.00425464
10.2333,0.827906,0.825855,0.00205106
10.25,0.829019,0.830623,-0.00160396
10.2667,0.82788,0.835785,-0.00790426
10.2833,0.839706,0.841335,-0.00162862
10.3,0.840229,0.847269,-0.00704067
10.3167,0.842998,0.853584,-0.0105863
10.3333,0.855726,0.860275,-0.00454866
10.35,0.934944,0.867335,0.0676087
10.3667,0.901129,0.874761,0.0263674
10.3833,0.851865,0.882546,-0.0306813
10.4,0.886805,0.890685,-0.00388062
10.4167,0.870485,0.899171,-0.0286867
10.4333,0.908551,0.907998,0.000552784
10.45,0.94967,0.91716,0.0325099
10.4667,0.88802,0.926648,-0.0386288
10.4833,0.943408,0.936457,0.0069506
10.5,0.987893,0.946579,0.0413145
10.5167,0.904146,0.957006,-0.0528598
10.5333,0.9668,0.967729,-0.000929661
10.55,0.961044,0.978743,-0.0176982
10.5667,1.0095,0.990036,0.01946
10.5833,1.0311,1.0016,0.0295021
10.6,0.959976,1.01343,-0.0534555
10.6167,1.02305,1.02552,-0.00246887
10.6333,1.00874,1.03785,-0.0291102
10.65,1.05499,1.05041,0.00457677
10.6667,1.08278,1.0632,0.0195768
10.6833,1.04422,1.07621,-0.0319966
10.7,1.07994,1.08943,-0.00948759
10.7167,1.12448,1.10284,0.021638
10.7333,1.12447,1.11644,0.00802302
10.75,1.10944,1.13022,-0.0207781
10.7667,1.13385,1.14416,-0.0103091
10.7833,1.17459,1.15826,0.0163334
10.8,1.19087,1.1725,0.0183682
10.8167,1.15319,1.18688,-0.0336898
10.8333,1.1774,1.20138,-0.0239888
10.85,1.23107,1.216,0.0150737
10.8667,1.25566,1.23071,0.0249499
10.8833,1.20223,1.24552,-0.0432919
10.9,1.20287,1.2604,-0.0575343
10.9167,1.30715,1.27536,0.031798
10.9333,1.3044,1.29036,0.0140348
10.95,1.31483,1.30542,0.00941516
10.9667,1.33277,1.32051,0.0122628
10.9833,1.3257,1.33562,-0.00991244
11,1.30777,1.35074,-0.0429633
11.0167,1.37528,1.36586,0.00942084
